0,210.3976917320463,1,2,3,4,5
1,211.121655183831,1,2,3,5,4
2,202.95738522313576,1,2,4,3,5
3,194.0405296365936,1,2,4,5,3
4,212.36725167965142,1,2,5,3,4
5,202.72643264132455,1,2,5,4,3
6,196.12466980422548,1,3,2,4,5
7,205.53453626074113,1,3,2,5,4
8,197.3702663000459,1,3,4,2,5
9,205.89354432817396,1,3,4,5,2
10,198.0942297518306,1,3,5,2,4
11,197.207641323443,1,3,5,4,2
12,204.67616351103558,1,4,2,3,5
13,197.00490442031384,1,4,2,5,3
14,213.36206651576654,1,4,3,2,5
15,214.44503803498407,1,4,3,5,2
16,204.44521092922437,1,4,5,2,3
17,213.19944153916364,1,4,5,3,2
18,215.39904060674777,1,5,2,3,4
19,198.31791505951037,1,5,2,4,3
20,206.71313760201681,1,5,3,2,4
21,207.07214566944964,1,5,3,4,2
22,197.07231856368995,1,5,4,2,3
23,214.51245217836018,1,5,4,3,2
24,255.33221218365276,2,1,3,4,5
25,256.05617563543746,2,1,3,5,4
26,263.88370589046286,2,1,4,3,5
27,254.9668503039207,2,1,4,5,3
28,265.9206799814441,2,1,5,3,4
29,256.2798609431172,2,1,5,4,3
30,257.0509904715526,2,3,1,4,5
31,259.0879645625338,2,3,1,5,4
32,266.91549481755925,2,3,4,1,5
33,214.51245217836018,2,3,4,5,1
34,267.63945826934395,2,3,5,1,4
35,213.19944153916367,2,3,5,4,1
36,249.61068396264204,2,4,1,3,5
37,250.5583327221065,2,4,1,5,3
38,250.92369460183858,2,4,3,1,5
39,207.07214566944964,2,4,3,5,1
40,242.0068390152964,2,4,5,1,3
41,197.207641323443,2,4,5,3,1
42,260.33356105835423,2,5,1,3,4
43,259.2442357268375,2,5,1,4,3
44,259.0205504191577,2,5,3,1,4
45,214.44503803498407,2,5,3,4,1
46,249.37973138083083,2,5,4,1,3
47,205.89354432817396,2,5,4,3,1
48,237.89207856898253,3,1,2,4,5
49,247.30194502549818,3,1,2,5,4
50,240.85645335270283,3,1,4,2,5
51,249.37973138083083,3,1,4,5,2
52,242.893427443684,3,1,5,2,4
53,242.0068390152964,3,1,5,4,2
54,253.8838787847032,3,2,1,4,5
55,255.92085287568437,3,2,1,5,4
56,249.47536120288902,3,2,4,1,5
57,197.07231856368995,3,2,4,5,1
58,258.8852276594047,3,2,5,1,4
59,204.4452109292244,3,2,5,4,1
60,255.12947528052365,3,4,1,2,5
61,259.2442357268375,3,4,1,5,2
62,247.75658291498917,3,4,2,1,5
63,198.31791505951037,3,4,2,5,1
64,256.2798609431172,3,4,5,1,2
65,202.72643264132455,3,4,5,2,1
66,248.48054636677386,3,5,1,2,4
67,250.5583327221065,3,5,1,4,2
68,255.8534387323083,3,5,2,1,4
69,197.00490442031384,3,5,2,4,1
70,254.9668503039207,3,5,4,1,2
71,194.0405296365936,3,5,4,2,1
72,263.52469782303007,4,1,2,3,5
73,255.8534387323083,4,1,2,5,3
74,257.93757889994015,4,1,3,2,5
75,259.0205504191577,4,1,3,5,2
76,258.8852276594047,4,1,5,2,3
77,267.63945826934395,4,1,5,3,2
78,247.5328976073094,4,2,1,3,5
79,248.48054636677386,4,2,1,5,3
80,250.56468653440575,4,2,3,1,5
81,206.71313760201681,4,2,3,5,1
82,242.893427443684,4,2,5,1,3
83,198.0942297518306,4,2,5,3,1
84,256.21880061204035,4,3,1,2,5
85,260.33356105835423,4,3,1,5,2
86,264.83770846222654,4,3,2,1,5
87,215.39904060674777,4,3,2,5,1
88,265.9206799814441,4,3,5,1,2
89,212.36725167965142,4,3,5,2,1
90,255.9208528756844,4,5,1,2,3
91,259.08796456253384,4,5,1,3,2
92,247.30194502549818,4,5,2,1,3
93,205.53453626074113,4,5,2,3,1
94,256.05617563543746,4,5,3,1,2
95,211.12165518383097,4,5,3,2,1
96,264.8377084622266,5,1,2,3,4
97,247.75658291498917,5,1,2,4,3
98,250.56468653440575,5,1,3,2,4
99,250.92369460183858,5,1,3,4,2
100,249.47536120288905,5,1,4,2,3
101,266.91549481755925,5,1,4,3,2
102,256.21880061204035,5,2,1,3,4
103,255.1294752805236,5,2,1,4,3
104,257.9375788999402,5,2,3,1,4
105,213.36206651576657,5,2,3,4,1
106,240.85645335270283,5,2,4,1,3
107,197.3702663000459,5,2,4,3,1
108,247.5328976073094,5,3,1,2,4
109,249.61068396264204,5,3,1,4,2
110,263.52469782303,5,3,2,1,4
111,204.6761635110356,5,3,2,4,1
112,263.88370589046286,5,3,4,1,2
113,202.95738522313576,5,3,4,2,1
114,253.88387878470323,5,4,1,2,3
115,257.0509904715526,5,4,1,3,2
116,237.89207856898253,5,4,2,1,3
117,196.12466980422548,5,4,2,3,1
118,255.33221218365276,5,4,3,1,2
119,210.39769173204627,5,4,3,2,1
